instance,method,run,utility,cpu_time
MC-CSSP-M,QIDDM-noDyn,7,0.6484548265058726,2.263994400000229
MC-CSSP-M,QIDDM-noDyn,8,0.6473066106585024,2.2079492000002574
MC-CSSP-M,QIDDM-noDyn,9,0.6473066106585024,2.2423220000000583
MC-CSSP-M,QIDDM-noDyn,10,0.6473066106585024,2.2574407000001884
MC-CSSP-M,QIDDM-noDyn,11,0.6494643478859783,2.202706899999612
MC-CSSP-M,QIDDM-noDyn,12,0.6494643478859783,2.1932302999994135
MC-CSSP-M,QIDDM-noDyn,13,0.6494643478859783,2.2321781000000556
MC-CSSP-M,QIDDM-noDyn,14,0.6484548265058726,2.2285574999996243
MC-CSSP-M,QIDDM-noDyn,15,0.6484548265058726,2.200454300000274
MC-CSSP-M,QIDDM-noDyn,16,0.6473066106585024,2.3134141999998974
MC-CSSP-M,QIDDM-noDyn,17,0.6484548265058726,2.2333733999994365
MC-CSSP-M,QIDDM-noDyn,18,0.6473066106585024,2.2796957999998995
MC-CSSP-M,QIDDM-noDyn,19,0.6484548265058726,2.243299300000217
MC-CSSP-M,QIDDM-noInt,0,0.6484548265058726,2.2153556000002936
MC-CSSP-M,QIDDM-noInt,1,0.6473066106585024,4.625643299999865
MC-CSSP-M,QIDDM-noInt,2,0.6484548265058726,2.2339245000002848
MC-CSSP-M,QIDDM-noInt,3,0.6484548265058726,2.1771148999996512
MC-CSSP-M,QIDDM-noInt,4,0.6484548265058726,2.2549496000001454
MC-CSSP-M,QIDDM-noInt,5,0.6484548265058726,2.2623333000001367
MC-CSSP-M,QIDDM-noInt,6,0.6494643478859783,2.2797381000000314
MC-CSSP-M,QIDDM-noInt,7,0.6494643478859783,2.168634099999508
MC-CSSP-M,QIDDM-noInt,8,0.6484548265058726,2.245819499999925
MC-CSSP-M,QIDDM-noInt,9,0.6484548265058726,2.217070099999546
MC-CSSP-M,QIDDM-noInt,10,0.6494643478859783,2.3234231999995245
MC-CSSP-M,QIDDM-noInt,11,0.6494643478859783,2.195093700000143
MC-CSSP-M,QIDDM-noInt,12,0.6484548265058726,2.245292900000095
MC-CSSP-M,QIDDM-noInt,13,0.6494643478859783,2.2076857000001837
MC-CSSP-M,QIDDM-noInt,14,0.6484548265058726,2.2614331999993738
MC-CSSP-M,QIDDM-noInt,15,0.6484548265058726,2.561152299999776
MC-CSSP-M,QIDDM-noInt,16,0.6484548265058726,2.3182913000000553
MC-CSSP-M,QIDDM-noInt,17,0.6494643478859783,2.1823228000002928
MC-CSSP-M,QIDDM-noInt,18,0.6484548265058726,2.2276848000001337
MC-CSSP-M,QIDDM-noInt,19,0.6473066106585024,2.2192512999999963
MC-CSSP-M,QIDDM-noLS,0,0.6449999104952165,2.0829963999995016
MC-CSSP-M,QIDDM-noLS,1,0.6484548265058726,1.9890937000000122
MC-CSSP-M,QIDDM-noLS,2,0.6451149982718232,2.21816409999974
MC-CSSP-M,QIDDM-noLS,3,0.6484548265058726,2.0937690999999177
MC-CSSP-M,QIDDM-noLS,4,0.6464363863700686,1.9827444000002288
MC-CSSP-M,QIDDM-noLS,5,0.6484548265058726,1.9871219999995446
MC-CSSP-M,QIDDM-noLS,6,0.6484548265058726,2.001641500000005
MC-CSSP-M,QIDDM-noLS,7,0.6463432359038223,2.4218642000005275
MC-CSSP-M,QIDDM-noLS,8,0.6484548265058726,4.881572499999493
MC-CSSP-M,QIDDM-noLS,9,0.6466119146291395,3.2952918999999383
MC-CSSP-M,QIDDM-noLS,10,0.6464363863700686,3.2485225000000355
MC-CSSP-M,QIDDM-noLS,11,0.6494643478859783,3.2076703000002453
MC-CSSP-M,QIDDM-noLS,12,0.6447749025713065,3.04896220000046
MC-CSSP-M,QIDDM-noLS,13,0.6480090715196843,3.2211121000000276
MC-CSSP-M,QIDDM-noLS,14,0.642185335154341,3.234818400000222
MC-CSSP-M,QIDDM-noLS,15,0.6484548265058726,3.0742270000000644
MC-CSSP-M,QIDDM-noLS,16,0.6473066106585024,3.2129828000006455
MC-CSSP-M,QIDDM-noLS,17,0.6484548265058726,3.0619673999999577
MC-CSSP-M,QIDDM-noLS,18,0.6484548265058726,3.0514509999993606
MC-CSSP-M,QIDDM-noLS,19,0.6453501904938633,3.202350099999421
MC-CSSP-M,QIDDM-noWarm,0,0.6473066106585024,3.3751941000000443
MC-CSSP-M,QIDDM-noWarm,1,0.6473066106585024,3.4659053999994285
MC-CSSP-M,QIDDM-noWarm,2,0.6473066106585024,3.414023199999974
MC-CSSP-M,QIDDM-noWarm,3,0.6494643478859783,3.36635699999988
MC-CSSP-M,QIDDM-noWarm,4,0.6416787867575731,3.3712484999996377
MC-CSSP-M,QIDDM-noWarm,5,0.6473066106585024,3.4322775999999067
MC-CSSP-M,QIDDM-noWarm,6,0.6473066106585024,3.548126599999705
MC-CSSP-M,QIDDM-noWarm,7,0.6452911391822211,3.5740849000003436
MC-CSSP-M,QIDDM-noWarm,8,0.6473066106585024,3.403836599999522
MC-CSSP-M,QIDDM-noWarm,9,0.6473066106585024,3.538665900000524
MC-CSSP-M,QIDDM-noWarm,10,0.6494643478859783,3.5079192000002877
MC-CSSP-M,QIDDM-noWarm,11,0.6454836319768759,3.5950270000003
MC-CSSP-M,QIDDM-noWarm,12,0.6484548265058726,3.540252099999634
MC-CSSP-M,QIDDM-noWarm,13,0.6473066106585024,3.4600632000001497
MC-CSSP-M,QIDDM-noWarm,14,0.6494643478859783,3.3855297999998584
