param,value,run,utility
eta,0.0,0,0.6484548265058726
eta,0.0,1,0.6473066106585024
eta,0.0,2,0.6484548265058726
eta,0.0,3,0.6484548265058726
eta,0.0,4,0.6484548265058726
eta,0.0,5,0.6484548265058726
eta,0.0,6,0.6494643478859783
eta,0.0,7,0.6494643478859783
eta,0.15,0,0.6473066106585024
eta,0.15,1,0.6484548265058726
eta,0.15,2,0.6473066106585024
eta,0.15,3,0.6473066106585024
eta,0.15,4,0.6484548265058726
eta,0.15,5,0.6473066106585024
eta,0.15,6,0.6494643478859783
eta,0.15,7,0.6494643478859783
eta,0.3,0,0.6494643478859783
eta,0.3,1,0.6473066106585024
eta,0.3,2,0.6494643478859783
eta,0.3,3,0.6484548265058726
eta,0.3,4,0.6484548265058726
eta,0.3,5,0.6484548265058726
eta,0.3,6,0.6494643478859783
eta,0.3,7,0.6473066106585024
eta,0.45,0,0.6494643478859783
eta,0.45,1,0.6473066106585024
eta,0.45,2,0.6484548265058726
eta,0.45,3,0.6473066106585024
eta,0.45,4,0.6484548265058726
eta,0.45,5,0.6484548265058726
eta,0.45,6,0.6494643478859783
eta,0.45,7,0.6484548265058726
eta,0.6,0,0.6494643478859783
eta,0.6,1,0.6473066106585024
eta,0.6,2,0.6494643478859783
eta,0.6,3,0.6473066106585024
eta,0.6,4,0.6473066106585024
eta,0.6,5,0.6484548265058726
eta,0.6,6,0.6494643478859783
eta,0.6,7,0.6484548265058726
theta_max,0.5,0,0.6473066106585024
theta_max,0.5,1,0.6484548265058726
theta_max,0.5,2,0.6484548265058726
theta_max,0.5,3,0.6473066106585024
theta_max,0.5,4,0.6494643478859783
theta_max,0.5,5,0.6473066106585024
theta_max,0.5,6,0.6494643478859783
theta_max,0.5,7,0.6484548265058726
theta_max,0.75,0,0.6473066106585024
theta_max,0.75,1,0.6473066106585024
theta_max,0.75,2,0.6484548265058726
theta_max,0.75,3,0.6484548265058726
theta_max,0.75,4,0.6473066106585024
theta_max,0.75,5,0.6473066106585024
theta_max,0.75,6,0.6494643478859783
theta_max,0.75,7,0.6473066106585024
theta_max,1.0,0,0.6494643478859783
theta_max,1.0,1,0.6473066106585024
theta_max,1.0,2,0.6494643478859783
theta_max,1.0,3,0.6484548265058726
theta_max,1.0,4,0.6484548265058726
theta_max,1.0,5,0.6484548265058726
theta_max,1.0,6,0.6494643478859783
theta_max,1.0,7,0.6473066106585024
theta_max,1.5,0,0.6484548265058726
theta_max,1.5,1,0.6484548265058726
theta_max,1.5,2,0.6473066106585024
theta_max,1.5,3,0.6473066106585024
theta_max,1.5,4,0.6473066106585024
theta_max,1.5,5,0.6473066106585024
theta_max,1.5,6,0.6473066106585024
theta_max,1.5,7,0.6484548265058726
theta_max,2.0,0,0.6484548265058726
theta_max,2.0,1,0.6473066106585024
theta_max,2.0,2,0.6473066106585024
theta_max,2.0,3,0.6473066106585024
theta_max,2.0,4,0.6484548265058726
theta_max,2.0,5,0.6473066106585024
theta_max,2.0,6,0.6494643478859783
theta_max,2.0,7,0.6484548265058726
decay,1.0,0,0.6494643478859783
decay,1.0,1,0.6484548265058726
decay,1.0,2,0.6473066106585024
decay,1.0,3,0.6473066106585024
decay,1.0,4,0.6484548265058726
decay,1.0,5,0.6484548265058726
decay,1.0,6,0.6494643478859783
decay,1.0,7,0.6484548265058726
decay,2.0,0,0.6494643478859783
decay,2.0,1,0.6484548265058726
decay,2.0,2,0.6473066106585024
decay,2.0,3,0.6484548265058726
decay,2.0,4,0.6473066106585024
decay,2.0,5,0.6484548265058726
decay,2.0,6,0.6494643478859783
decay,2.0,7,0.6484548265058726
decay,3.0,0,0.6494643478859783
decay,3.0,1,0.6473066106585024
decay,3.0,2,0.6494643478859783
decay,3.0,3,0.6484548265058726
decay,3.0,4,0.6484548265058726
decay,3.0,5,0.6484548265058726
decay,3.0,6,0.6494643478859783
decay,3.0,7,0.6473066106585024
decay,5.0,0,0.6494643478859783
decay,5.0,1,0.6473066106585024
decay,5.0,2,0.6473066106585024
decay,5.0,3,0.6473066106585024
decay,5.0,4,0.6473066106585024
decay,5.0,5,0.6484548265058726
decay,5.0,6,0.6494643478859783
decay,5.0,7,0.6473066106585024
decay,8.0,0,0.6473066106585024
decay,8.0,1,0.6484548265058726
decay,8.0,2,0.6473066106585024
decay,8.0,3,0.6473066106585024
decay,8.0,4,0.6473066106585024
decay,8.0,5,0.6494643478859783
decay,8.0,6,0.6494643478859783
decay,8.0,7,0.6484548265058726
