instance,method,run,utility,cpu_time,iterations_to_best,cost,quality,lead_time,reliability,capacity_slack
MC-CSSP-S,TOPSIS,0,0.6182484963568616,0.0014522999999826425,0,73.6308961582555,83.84565706714082,21.309715630694424,0.7918887965277266,422.0677172050081
MC-CSSP-S,AHP,0,0.6376340256932922,0.0009314999997513951,0,80.08932031705967,87.09107265023664,21.309715630694424,0.8229710714798251,492.4935637861382
MC-CSSP-S,GA,0,0.6397303439424356,3.403171900000416,10,81.34244144953846,85.18813289583974,21.309715630694424,0.8509239873859524,501.28717519439317
MC-CSSP-S,GA,1,0.6309328469318027,3.678080599999703,23,77.17617746657957,84.4552301509252,21.309715630694424,0.8230380523002017,527.0648596506734
MC-CSSP-S,GA,2,0.6374060312951357,3.3959462999996504,18,86.07727316871451,85.4330238177867,18.40583224404948,0.8269293912755171,606.9221839732623
MC-CSSP-S,GA,3,0.6191491829378443,3.5614378999998735,23,88.07485691479553,87.14271521470934,21.309715630694424,0.8460367052320922,616.1167638285716
MC-CSSP-S,GA,4,0.6314777738901565,3.5489903000002414,58,83.3110664052652,85.61373852655365,21.309715630694424,0.8474109065755938,588.7781798321593
MC-CSSP-S,GA,5,0.6410065815119722,3.617462600000181,68,84.96731927384768,88.30547794335473,21.309715630694424,0.840065328870831,585.1327232595394
MC-CSSP-S,GA,6,0.6379867735087633,3.5371061000000736,34,80.08845378288218,85.0106902102189,21.318920313272425,0.8431154975387327,544.542031350266
MC-CSSP-S,GA,7,0.6419370614077452,3.566718199999741,27,80.93573903061386,88.23385292840035,21.309715630694424,0.8179416872834975,513.4525219935487
MC-CSSP-S,GA,8,0.6227678311544975,3.7052638000000115,19,80.89213168184038,83.14461421950423,21.318920313272425,0.8388643708572361,455.8602355513366
MC-CSSP-S,GA,9,0.6288837544364294,3.7873984999996537,11,76.10223113040115,85.55735060217395,21.309715630694424,0.8008681745592634,458.17936196336825
MC-CSSP-S,GA,10,0.6212170660333766,3.8626491999998507,46,78.03702295225213,83.63727377848832,21.309715630694424,0.821181601656009,450.4949720292617
MC-CSSP-S,GA,11,0.6419380746262368,3.609730099999979,17,76.05687353964836,84.93906519526452,21.318920313272425,0.8209918559513992,472.86183008427554
MC-CSSP-S,GA,12,0.6379867735087633,5.070355899999868,39,80.08845378288218,85.0106902102189,21.318920313272425,0.8431154975387327,544.542031350266
MC-CSSP-S,GA,13,0.6473212886661148,3.6173432000000503,67,87.733526037297,88.12476323458777,18.40583224404948,0.8195838135707542,603.2767274006425
MC-CSSP-S,GA,14,0.6243599556200735,3.6227733999999145,13,92.301857514897,85.34130439773176,18.40583224404948,0.8362781281974394,598.4738593176709
MC-CSSP-S,GA,15,0.6419370614077452,3.5271551000000727,30,80.93573903061386,88.23385292840035,21.309715630694424,0.8179416872834975,513.4525219935487
MC-CSSP-S,GA,16,0.6186356931353537,3.6099190999998427,74,79.1138716036719,82.30181372412909,21.318920313272425,0.8428215864341135,531.7094865805244
MC-CSSP-S,GA,17,0.6397303439424356,3.7208917000002657,4,81.34244144953846,85.18813289583974,21.309715630694424,0.8509239873859524,501.28717519439317
