instance,method,run,utility,cpu_time,iterations_to_best,cost,quality,lead_time,reliability,capacity_slack
MC-CSSP-S,TOPSIS,0,0.6182484963568616,0.000786599999628379,0,73.6308961582555,83.84565706714082,21.309715630694424,0.7918887965277266,422.0677172050081
MC-CSSP-S,AHP,0,0.6376340256932922,0.0005234000000200467,0,80.08932031705967,87.09107265023664,21.309715630694424,0.8229710714798251,492.4935637861382
MC-CSSP-S,GA,0,0.6397303439424356,2.981349699999555,10,81.34244144953846,85.18813289583974,21.309715630694424,0.8509239873859524,501.28717519439317
MC-CSSP-S,GA,1,0.6309328469318027,2.4249344999998357,23,77.17617746657957,84.4552301509252,21.309715630694424,0.8230380523002017,527.0648596506734
MC-CSSP-S,GA,2,0.6374060312951357,2.4528150000005553,18,86.07727316871451,85.4330238177867,18.40583224404948,0.8269293912755171,606.9221839732623
MC-CSSP-S,GA,3,0.6191491829378443,2.14123280000058,23,88.07485691479553,87.14271521470934,21.309715630694424,0.8460367052320922,616.1167638285716
MC-CSSP-S,GA,4,0.6314777738901565,2.2031944999998814,58,83.3110664052652,85.61373852655365,21.309715630694424,0.8474109065755938,588.7781798321593
MC-CSSP-S,GA,5,0.6410065815119722,2.3265989000001355,68,84.96731927384768,88.30547794335473,21.309715630694424,0.840065328870831,585.1327232595394
MC-CSSP-S,GA,6,0.6379867735087633,2.1622377000003326,34,80.08845378288218,85.0106902102189,21.318920313272425,0.8431154975387327,544.542031350266
MC-CSSP-S,GA,7,0.6419370614077452,2.343104699999458,27,80.93573903061386,88.23385292840035,21.309715630694424,0.8179416872834975,513.4525219935487
MC-CSSP-S,GA,8,0.6227678311544975,2.5547627000005377,19,80.89213168184038,83.14461421950423,21.318920313272425,0.8388643708572361,455.8602355513366
MC-CSSP-S,GA,9,0.6288837544364294,2.22893380000005,11,76.10223113040115,85.55735060217395,21.309715630694424,0.8008681745592634,458.17936196336825
MC-CSSP-S,GA,10,0.6212170660333766,2.391309999999976,46,78.03702295225213,83.63727377848832,21.309715630694424,0.821181601656009,450.4949720292617
MC-CSSP-S,GA,11,0.6419380746262368,2.1660258000001704,17,76.05687353964836,84.93906519526452,21.318920313272425,0.8209918559513992,472.86183008427554
MC-CSSP-S,GA,12,0.6379867735087633,2.161000299999614,39,80.08845378288218,85.0106902102189,21.318920313272425,0.8431154975387327,544.542031350266
MC-CSSP-S,GA,13,0.6473212886661148,2.5395330000001195,67,87.733526037297,88.12476323458777,18.40583224404948,0.8195838135707542,603.2767274006425
MC-CSSP-S,GA,14,0.6243599556200735,2.630214099999648,13,92.301857514897,85.34130439773176,18.40583224404948,0.8362781281974394,598.4738593176709
MC-CSSP-S,GA,15,0.6419370614077452,4.140633400000297,30,80.93573903061386,88.23385292840035,21.309715630694424,0.8179416872834975,513.4525219935487
MC-CSSP-S,GA,16,0.6186356931353537,4.51909969999997,74,79.1138716036719,82.30181372412909,21.318920313272425,0.8428215864341135,531.7094865805244
MC-CSSP-S,GA,17,0.6397303439424356,2.6656283000002077,4,81.34244144953846,85.18813289583974,21.309715630694424,0.8509239873859524,501.28717519439317
MC-CSSP-S,GA,18,0.6498006075229267,2.3725282999994306,120,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,GA,19,0.6419370614077452,2.24382229999992,15,80.93573903061386,88.23385292840035,21.309715630694424,0.8179416872834975,513.4525219935487
MC-CSSP-S,PSO,0,0.6498006075229267,2.1881929999999556,83,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,PSO,1,0.6498006075229267,2.07430899999963,64,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,PSO,2,0.6498006075229267,2.215435900000557,98,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,PSO,3,0.6481003218441783,1.959479399999509,47,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,PSO,4,0.6453454135700039,2.044310699999187,65,78.10674034293449,84.78479941655905,21.309715630694424,0.8396293157237447,478.42954806303
MC-CSSP-S,PSO,5,0.6481003218441783,2.0516507000002093,42,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,PSO,6,0.6481003218441783,4.737839999999778,83,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,PSO,7,0.6498006075229267,2.1519194000002244,88,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,PSO,8,0.6498006075229267,2.0261583999999857,35,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,PSO,9,0.6498006075229267,3.8676326000004337,108,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,PSO,10,0.6481003218441783,2.9555664999998044,18,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,PSO,11,0.6481003218441783,3.109249200000704,22,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,PSO,12,0.6481003218441783,2.287039900000309,39,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
MC-CSSP-S,PSO,13,0.6498006075229267,2.833793799999512,63,87.42385855810899,84.12689910461367,15.512306310963663,0.8191838708064336,505.8346998442697
MC-CSSP-S,PSO,14,0.6481003218441783,2.0083227000004626,19,79.40764962768748,87.10820971952536,21.309715630694424,0.830610560289207,508.9715651284997
