instance,qiddm_vs,qiddm_mean,other_mean,U,p_value,significant_005
MC-CSSP-S,GA,0.6486104075478029,0.6348071053443777,383.0,2.0865120682506466e-07,True
MC-CSSP-S,PSO,0.6486104075478029,0.6487277049859065,177.0,0.7713000999926918,False
MC-CSSP-M,GA,0.6484706289580617,0.6092126021438344,400.0,2.6440413858396255e-08,True
MC-CSSP-M,PSO,0.6484706289580617,0.6270979503564555,400.0,2.6440413858396255e-08,True
MC-CSSP-L,GA,0.6792399942926004,0.6012988316026251,400.0,2.9640321358870498e-08,True
MC-CSSP-L,PSO,0.6792399942926004,0.6194293664344378,400.0,2.9640321358870498e-08,True
